tr|A0A2I1CKB3|A0A2I1CKB3_9EURO	Transporter|Transporter|Transporter|GT-A	Mito_carr(43-128)|Mito_carr(152-260)|Mito_carr(228-322)|Anp1(535-800)
tr|A0A167ZB80|A0A167ZB80_9PEZI	GT-A	Anp1(33-279)
tr|A0A168GTR4|A0A168GTR4_MUCCL	GT-A	Anp1(16-271)
tr|A0A168L264|A0A168L264_CORDF	GT-A	Anp1(74-339)
tr|A0A168L544|A0A168L544_MUCCL	GT-A	Anp1(17-255)
tr|A0A168MXX0|A0A168MXX0_MUCCL	GT-A	Anp1(3-249)
tr|A0A168N7B2|A0A168N7B2_ABSGL	GT-A	Anp1(66-324)
tr|A0A168PIJ4|A0A168PIJ4_MUCCL	GT-A	Anp1(2-245)
tr|A0A177CIA8|A0A177CIA8_9PLEO	GT-A	Anp1(100-369)
tr|A0A177DGR2|A0A177DGR2_ALTAL	GT-A	Anp1(166-430)
tr|A0A178ADS9|A0A178ADS9_9PLEO	GT-A	Anp1(101-365)
tr|A0A178ZMZ2|A0A178ZMZ2_9EURO	GT-A	Anp1(31-293)
tr|A0A179FAC5|A0A179FAC5_METCM	GT-A	Anp1(20-282)
tr|A0A179FZQ5|A0A179FZQ5_METCM	GT-A	Anp1(76-341)
tr|A0A179GZ73|A0A179GZ73_9HYPO	GT-A	Anp1(1-217)
tr|A0A179HMH1|A0A179HMH1_9HYPO	GT-A	Anp1(75-340)
tr|A0A179UY45|A0A179UY45_BLAGS	GT-A	Anp1(78-343)
tr|A0A194UTS2|A0A194UTS2_9PEZI	GT-A	Anp1(47-309)
tr|A0A194VBI5|A0A194VBI5_9PEZI	GT-A	Anp1(101-363)
tr|A0A194W9Z9|A0A194W9Z9_9PEZI	GT-A	Anp1(101-363)
tr|A0A197KE77|A0A197KE77_9FUNG	GT-A	Anp1(68-310)
tr|A0A1A0H559|A0A1A0H559_9ASCO	GT-A	Glyco_tranf_GTA_type(1-247)
tr|A0A1A0HD87|A0A1A0HD87_9ASCO	GT-A	Anp1(77-335)
tr|A0A1A0HF16|A0A1A0HF16_9ASCO	GT-A	Anp1(75-390)
tr|A0A1B7NK99|A0A1B7NK99_9EURO	GT-A	Anp1(101-362)
tr|A0A1B7NV36|A0A1B7NV36_9EURO	GT-A	Anp1(1-226)
tr|A0A1B7T9N7|A0A1B7T9N7_9ASCO	GT-A	Anp1(84-387)
tr|A0A1B7THD8|A0A1B7THD8_9ASCO	GT-A	Anp1(28-293)
tr|A0A1B7TJY0|A0A1B7TJY0_9ASCO	GT-A	Anp1(35-296)
tr|A0A1B8AC98|A0A1B8AC98_FUSPO	GT-A	Anp1(76-341)
tr|A0A1B8B8M5|A0A1B8B8M5_FUSPO	GT-A	Anp1(101-363)
tr|A0A1B8C6V8|A0A1B8C6V8_9PEZI	GT-A	Anp1(19-281)
tr|A0A1B8CAL7|A0A1B8CAL7_9PEZI	GT-A	Anp1(102-371)
tr|A0A1B8CLE6|A0A1B8CLE6_9PEZI	GT-A	Anp1(73-338)
tr|A0A1B8CT67|A0A1B8CT67_9PEZI	GT-A	Anp1(46-308)
tr|A0A1B8DB87|A0A1B8DB87_9PEZI	GT-A	Anp1(94-363)
tr|A0A1B8DCJ2|A0A1B8DCJ2_9PEZI	GT-A	Anp1(19-281)
tr|A0A1B8EDZ6|A0A1B8EDZ6_9PEZI	GT-A	Anp1(104-373)
tr|A0A1B8EIK4|A0A1B8EIK4_9PEZI	GT-A	Anp1(19-281)
tr|A0A1B8EXN9|A0A1B8EXN9_9PEZI	GT-A	Anp1(102-371)
tr|A0A1B8EXY0|A0A1B8EXY0_9PEZI	GT-A	Anp1(73-338)
tr|A0A1B8G8W7|A0A1B8G8W7_9PEZI	GT-A	Anp1(103-372)
tr|A0A1B8GJT0|A0A1B8GJT0_9PEZI	GT-A	Anp1(73-338)
tr|A0A1C1CST4|A0A1C1CST4_9EURO	GT-A	Anp1(101-363)
tr|A0A1C1CY13|A0A1C1CY13_9EURO	GT-A	Anp1(76-341)
tr|A0A1C1D2U4|A0A1C1D2U4_9EURO	GT-A	Glyco_tranf_GTA_type(101-300)
tr|A0A1C7N0M7|A0A1C7N0M7_9FUNG	GT-A	Anp1(19-261)
tr|A0A1C7N5S8|A0A1C7N5S8_9FUNG	GT-A	Anp1(43-295)
tr|A0A1C7NJL5|A0A1C7NJL5_9FUNG	GT-A	Anp1(72-330)
tr|A0A1D2VAV8|A0A1D2VAV8_9ASCO	GT-A	Anp1(7-269)
tr|A0A1E1LH39|A0A1E1LH39_9HELO	GT-A	Anp1(73-338)
tr|A0A1E3B7X1|A0A1E3B7X1_9EURO	GT-A	Anp1(82-347)
tr|A0A1E3BN15|A0A1E3BN15_9EURO	GT-A	Anp1(84-347)
tr|A0A1E3NHD4|A0A1E3NHD4_9ASCO	GT-A	Anp1(66-377)
tr|A0A1E3NVR3|A0A1E3NVR3_WICAO	GT-A	Glyco_tranf_GTA_type(1-240)
tr|A0A1E3PLS0|A0A1E3PLS0_9ASCO	GT-A	Anp1(3-261)
tr|A0A1E3PMQ9|A0A1E3PMQ9_9ASCO	GT-A	Anp1(77-339)
tr|A0A1E3QA71|A0A1E3QA71_LIPST	GT-A	Anp1(53-314)
tr|A0A1E3QL69|A0A1E3QL69_9ASCO	GT-A	Glyco_tranf_GTA_type(18-247)
tr|A0A1E4RVH8|A0A1E4RVH8_CYBJA	GT-A	Anp1(1-250)
tr|A0A1E4RX76|A0A1E4RX76_CYBJA	GT-A	Anp1(28-287)
tr|A0A1E4S606|A0A1E4S606_CYBJA	GT-A	Anp1(107-414)
tr|A0A1E4SCU4|A0A1E4SCU4_9ASCO	GT-A	Glyco_tranf_GTA_type(62-308)
tr|A0A1E4SIQ9|A0A1E4SIQ9_9ASCO	GT-A	Anp1(44-355)
tr|A0A1E4SS91|A0A1E4SS91_9ASCO	GT-A	Anp1(73-334)
tr|A0A1E4T3G4|A0A1E4T3G4_9ASCO	GT-A	Anp1(20-281)
tr|A0A1E4TD22|A0A1E4TD22_9ASCO	GT-A	Anp1(42-300)
tr|A0A1E4TSZ7|A0A1E4TSZ7_PACTA	GT-A	Anp1(1-226)
tr|A0A1E4TV81|A0A1E4TV81_PACTA	GT-A	Glyco_tranf_GTA_type(116-385)
tr|A0A1F5L8Z3|A0A1F5L8Z3_9EURO	GT-A	Anp1(83-348)
tr|A0A1F5LBZ1|A0A1F5LBZ1_9EURO	GT-A	Anp1(115-378)
tr|A0A1F7ZZ62|A0A1F7ZZ62_9EURO	GT-A	Anp1(101-363)
tr|A0A1F8A6Q4|A0A1F8A6Q4_9EURO	GT-A	Anp1(78-343)
tr|A0A1G4AQG8|A0A1G4AQG8_9PEZI	GT-A	Anp1(31-297)
tr|A0A1G4BC02|A0A1G4BC02_9PEZI	GT-A	Anp1(70-333)
tr|A0A1G4J5H7|A0A1G4J5H7_9SACH	GT-A	Anp1(95-358)
tr|A0A1G4JCW4|A0A1G4JCW4_9SACH	GT-A	Anp1(51-312)
tr|A0A1G4JF82|A0A1G4JF82_9SACH	GT-A	Glyco_tranf_GTA_type(88-339)
tr|A0A1G4JW20|A0A1G4JW20_9SACH	GT-A	Anp1(95-358)
tr|A0A1G4K129|A0A1G4K129_9SACH	GT-A	Anp1(134-444)
tr|A0A1G4K7G2|A0A1G4K7G2_9SACH	GT-A	Anp1(129-439)
tr|A0A1G4KC35|A0A1G4KC35_9SACH	GT-A	Anp1(133-443)
tr|A0A1G4KCB5|A0A1G4KCB5_9SACH	GT-A	Anp1(53-314)
tr|A0A1G4MHC3|A0A1G4MHC3_LACFM	GT-A	Anp1(135-445)
tr|A0A1J9P1N7|A0A1J9P1N7_9EURO	GT-A	Anp1(31-292)
tr|A0A1J9QGG0|A0A1J9QGG0_9EURO	GT-A	Anp1(77-343)
tr|A0A1J9QUC9|A0A1J9QUC9_9EURO	GT-A	Anp1(1-226)
tr|A0A1L0BDT9|A0A1L0BDT9_9ASCO	GT-A	Anp1(63-376)
tr|A0A1L0GFZ2|A0A1L0GFZ2_9ASCO	GT-A	Glyco_tranf_GTA_type(72-333)
tr|A0A1L7X3W1|A0A1L7X3W1_9HELO	GT-A	Anp1(102-366)
tr|A0A1L9MWT5|A0A1L9MWT5_ASPTU	GT-A	Anp1(101-364)
tr|A0A1L9PQC3|A0A1L9PQC3_ASPVE	GT-A	Anp1(101-362)
tr|A0A1L9S206|A0A1L9S206_ASPWE	GT-A	Anp1(101-369)
tr|A0A1L9SC79|A0A1L9SC79_9EURO	GT-A	Anp1(101-364)
tr|A0A1L9T1F7|A0A1L9T1F7_9EURO	GT-A	Anp1(101-362)
tr|A0A1L9TFH2|A0A1L9TFH2_9EURO	GT-A	Anp1(81-346)
tr|A0A1L9UIH1|A0A1L9UIH1_9EURO	GT-A	Anp1(101-364)
tr|A0A1L9VT76|A0A1L9VT76_ASPGL	GT-A	Anp1(101-364)
tr|A0A1L9WLH0|A0A1L9WLH0_ASPAC	GT-A	Anp1(81-346)
tr|A0A1L9X247|A0A1L9X247_ASPAC	GT-A	Anp1(102-364)
tr|A0A1Q2YK46|A0A1Q2YK46_9ASCO	GT-A	Anp1(1-218)
tr|A0A1Q5T6U0|A0A1Q5T6U0_9EURO	GT-A	Anp1(101-364)
tr|A0A1Q5TH16|A0A1Q5TH16_9EURO	GT-A	Anp1(80-345)
tr|A0A1Q8RVZ7|A0A1Q8RVZ7_9PEZI	GT-A	Anp1(70-333)
tr|A0A1R3RE94|A0A1R3RE94_ASPC5	GT-A	Anp1(75-340)
tr|A0A1R3RTF6|A0A1R3RTF6_ASPC5	GT-A	Anp1(101-364)
tr|A0A1S3IAD7|A0A1S3IAD7_LINUN	GT-A	Glyco_tranf_GTA_type(197-423)
tr|A0A1S3JJG1|A0A1S3JJG1_LINUN	GT-A	Glyco_tranf_GTA_type(197-423)
tr|A0A1S9DZF2|A0A1S9DZF2_ASPOZ	GT-A	Anp1(101-363)
tr|A0A1V1SWQ2|A0A1V1SWQ2_9FUNG	GT-A	Anp1(101-364)
tr|A0A1V2LD06|A0A1V2LD06_CYBFA	GT-A	Anp1(124-432)
tr|A0A1V6NSD2|A0A1V6NSD2_9EURO	GT-A	Anp1(101-365)
tr|A0A1V6NY40|A0A1V6NY40_9EURO	GT-A	Anp1(79-344)
tr|A0A1V6PJ83|A0A1V6PJ83_9EURO	GT-A	Anp1(101-364)
tr|A0A1V6PKU0|A0A1V6PKU0_9EURO	GT-A	Anp1(78-343)
tr|A0A1V6Q8Y5|A0A1V6Q8Y5_9EURO	GT-A	Anp1(103-366)
tr|A0A1V6QH21|A0A1V6QH21_9EURO	GT-A	Anp1(106-365)
tr|A0A1V6QV76|A0A1V6QV76_9EURO	GT-A	Anp1(79-344)
tr|A0A1V6REU6|A0A1V6REU6_9EURO	GT-A	Anp1(101-365)
tr|A0A1V6S6U8|A0A1V6S6U8_9EURO	GT-A	Anp1(79-344)
tr|A0A1V6SZ17|A0A1V6SZ17_9EURO	GT-A	Anp1(79-344)
tr|A0A1V6T4Q4|A0A1V6T4Q4_9EURO	GT-A	Anp1(101-364)
tr|A0A1V6TNG0|A0A1V6TNG0_9EURO	GT-A	Anp1(101-365)
tr|A0A1V6TQR9|A0A1V6TQR9_9EURO	GT-A	Anp1(81-346)
tr|A0A1V6UCJ8|A0A1V6UCJ8_9EURO	GT-A	Anp1(101-365)
tr|A0A1V6UFF6|A0A1V6UFF6_9EURO	GT-A	Anp1(79-344)
tr|A0A1V6Y7I9|A0A1V6Y7I9_PENNA	GT-A	Anp1(79-344)
tr|A0A1V6YWU2|A0A1V6YWU2_PENNA	GT-A	Anp1(101-365)
tr|A0A1V8M7A1|A0A1V8M7A1_9GAMM	GT-A	Glyco_tranf_GTA_type(5-204)
tr|A0A1V8SIW1|A0A1V8SIW1_9PEZI	GT-A	Anp1(101-363)
tr|A0A1V8SUR9|A0A1V8SUR9_9PEZI	GT-A	Anp1(101-363)
tr|A0A1V8TX10|A0A1V8TX10_9PEZI	GT-A	Anp1(101-363)
tr|A0A1V8TX77|A0A1V8TX77_9PEZI	GT-A	Anp1(101-363)
tr|A0A1V8UUI6|A0A1V8UUI6_9PEZI	GT-A	Glyco_tranf_GTA_type(127-321)
tr|A0A1W5DCY1|A0A1W5DCY1_9LECA	GT-A	Anp1(76-342)
tr|A0A1X2HXY1|A0A1X2HXY1_9FUNG	GT-A	Anp1(51-315)
tr|A0A1X2I3Y1|A0A1X2I3Y1_9FUNG	GT-A	Anp1(72-345)
tr|A0A1X2IEQ3|A0A1X2IEQ3_9FUNG	GT-A	Glyco_tranf_GTA_type(87-246)
tr|A0A1X2IIT8|A0A1X2IIT8_9FUNG	GT-A	Anp1(6-238)
tr|A0A1X2ISN1|A0A1X2ISN1_9FUNG	GT-A	Anp1(32-288)
tr|A0A1X2IUG3|A0A1X2IUG3_9FUNG	GT-A	Anp1(68-326)
tr|A0A1Y1W2F6|A0A1Y1W2F6_9FUNG	GT-A	Anp1(116-351)
tr|A0A1Y1ZH99|A0A1Y1ZH99_9PLEO	GT-A	Anp1(230-495)
tr|A0A1Y2FHJ7|A0A1Y2FHJ7_9ASCO	GT-A	Anp1(47-322)
tr|A0A1Y2GCK9|A0A1Y2GCK9_9FUNG	GT-A	Anp1(12-242)
tr|A0A225AD99|A0A225AD99_9EURO	GT-A	Anp1(101-364)
tr|A0A225UCE8|A0A225UCE8_9STRA	GT-A	Glyco_tranf_GTA_type(14-243)
tr|A0A225UXM5|A0A225UXM5_9STRA	GT-A	Glyco_tranf_GTA_type(63-264)
tr|A0A225VD73|A0A225VD73_9STRA	GT-A	Glyco_tranf_GTA_type(3-233)
tr|A0A225VG32|A0A225VG32_9STRA	GT-A	Glyco_tranf_GTA_type(134-337)
tr|A0A225VGX2|A0A225VGX2_9STRA	GT-A	Glyco_tranf_GTA_type(21-246)
tr|A0A225W811|A0A225W811_9STRA	GT-A	Glyco_tranf_GTA_type(63-295)
tr|A0A229XMI3|A0A229XMI3_9EURO	GT-A	Anp1(101-364)
tr|A0A231MDG3|A0A231MDG3_9EURO	GT-A	Anp1(101-364)
tr|A0A231ML62|A0A231ML62_9EURO	GT-A	Anp1(86-351)
tr|A0A2B7XT78|A0A2B7XT78_9EURO	GT-A	Anp1(77-343)
tr|A0A2B7Y4K7|A0A2B7Y4K7_9EURO	GT-A	Anp1(101-362)
tr|A0A2B7YFT1|A0A2B7YFT1_9EURO	GT-A	Anp1(101-362)
tr|A0A2B7YPD6|A0A2B7YPD6_9EURO	GT-A	Anp1(67-333)
tr|A0A2B7ZBZ7|A0A2B7ZBZ7_9EURO	GT-A	Anp1(76-342)
tr|A0A2C5WX91|A0A2C5WX91_9PEZI	GT-A	Anp1(66-331)
tr|A0A2C5X884|A0A2C5X884_9PEZI	GT-A	Anp1(101-364)
tr|A0A2C5XGQ8|A0A2C5XGQ8_9HYPO	GT-A	Anp1(75-340)
tr|A0A2C5XWX3|A0A2C5XWX3_9HYPO	GT-A	Anp1(101-363)
tr|A0A2C5Z3N7|A0A2C5Z3N7_9HYPO	GT-A	Anp1(42-304)
tr|A0A2C5ZGL0|A0A2C5ZGL0_9HYPO	GT-A	Anp1(76-341)
tr|A0A2C5ZI24|A0A2C5ZI24_9HYPO	GT-A	Anp1(101-363)
tr|A0A2C6A6N4|A0A2C6A6N4_9HYPO	GT-A	Anp1(101-363)
tr|A0A2D3V578|A0A2D3V578_9PEZI	GT-A	Anp1(101-363)
tr|A0A2H0ZQG4|A0A2H0ZQG4_CANAR	GT-A	Anp1(75-334)
tr|A0A2H2ZR40|A0A2H2ZR40_9HYPO	GT-A	Anp1(73-338)
tr|A0A2H3EKU8|A0A2H3EKU8_9HELO	GT-A	Anp1(101-365)
tr|A0A2H3FNP3|A0A2H3FNP3_9HELO	GT-A	Anp1(101-365)
tr|A0A2H3H6W3|A0A2H3H6W3_FUSOX	GT-A	Anp1(76-341)
tr|A0A2H3HBU2|A0A2H3HBU2_FUSOX	GT-A	Anp1(101-363)
tr|A0A2H3IDW8|A0A2H3IDW8_9EURO	GT-A	Anp1(17-279)
tr|A0A2H3ILT7|A0A2H3ILT7_9EURO	GT-A	Anp1(101-364)
tr|A0A2H3T3Z6|A0A2H3T3Z6_FUSOX	GT-A	Anp1(76-341)
tr|A0A2H3T7Q3|A0A2H3T7Q3_FUSOX	GT-A	Anp1(101-363)
tr|A0A2I1C6B7|A0A2I1C6B7_9EURO	GT-A	Anp1(101-364)
tr|A0A2I2FE98|A0A2I2FE98_9EURO	GT-A	Anp1(101-364)
tr|A0A2I2GND5|A0A2I2GND5_9EURO	GT-A	Anp1(101-363)
tr|A0A2J5HNS4|A0A2J5HNS4_9EURO	GT-A	Anp1(101-364)
tr|A0A2K0U7V7|A0A2K0U7V7_GIBNY	GT-A	Anp1(76-341)
tr|A0A2K0W4H5|A0A2K0W4H5_GIBNY	GT-A	Anp1(101-363)
tr|A0A2K1INP6|A0A2K1INP6_PHYPA	GT-A	Anp1(87-327)
tr|A0A2K3QPG0|A0A2K3QPG0_9HYPO	GT-A	Anp1(75-340)
tr|A0A2N3N5V2|A0A2N3N5V2_9PEZI	GT-A	Anp1(100-363)
tr|A0A2N6NFN0|A0A2N6NFN0_BEABA	GT-A	Anp1(74-339)
tr|A0A2P4GYQ7|A0A2P4GYQ7_QUESU	GT-A	Glyco_tranf_GTA_type(74-310)
tr|A0A2P4ITR4|A0A2P4ITR4_QUESU	GT-A	Anp1(31-293)
tr|A0A2P4JXR4|A0A2P4JXR4_QUESU	GT-A	Anp1(244-506)
tr|A0A2P4LH45|A0A2P4LH45_QUESU	GT-A	Glyco_tranf_GTA_type(74-319)
tr|A0A2P4MG56|A0A2P4MG56_QUESU	GT-A	Anp1(226-454)
tr|A0A2P4WVQ1|A0A2P4WVQ1_9STRA	GT-A	Glyco_tranf_GTA_type(23-254)
tr|A0A2P5HVY0|A0A2P5HVY0_9PEZI	GT-A	Anp1(101-363)
tr|A0A2P5IEE6|A0A2P5IEE6_9PEZI	GT-A	Anp1(84-349)
tr|A0A2P6MSX5|A0A2P6MSX5_9MYCE	GT-A	Glyco_tranf_GTA_type(164-316)
tr|A0A2T1LWN0|A0A2T1LWN0_9CHRO	GT-A	Glyco_tranf_GTA_type(3-204)
tr|A1CFJ8|A1CFJ8_ASPCL	GT-A	Anp1(82-347)
tr|A1CGZ5|A1CGZ5_ASPCL	GT-A	Anp1(100-363)
tr|A1CXU1|A1CXU1_NEOFI	GT-A	Anp1(33-296)
tr|A1CYI9|A1CYI9_NEOFI	GT-A	Anp1(87-352)
tr|A2QGZ3|A2QGZ3_ASPNC	GT-A	Anp1(77-342)
tr|A2QHW3|A2QHW3_ASPNC	GT-A	Anp1(101-364)
tr|A3LRJ0|A3LRJ0_PICST	GT-A	Anp1(73-343)
tr|A3LZK4|A3LZK4_PICST	GT-A	Anp1(32-344)
tr|A4D9C0|A4D9C0_ASPFU	GT-A	Anp1(35-297)
tr|A5DCY4|A5DCY4_PICGU	GT-A	Anp1(53-329)
tr|A5DG29|A5DG29_PICGU	GT-A	Anp1(49-361)
tr|A5DGD5|A5DGD5_PICGU	GT-A	Anp1(3-262)
tr|A5DZM7|A5DZM7_LODEL	GT-A	Anp1(82-343)
tr|A5E009|A5E009_LODEL	GT-A	Anp1(1-286)
tr|A6QUE6|A6QUE6_AJECN	GT-A	Anp1(2-196)
tr|A6R120|A6R120_AJECN	GT-A	Anp1(76-342)
tr|A7EZ09|A7EZ09_SCLS1	GT-A	Anp1(56-318)
tr|A7TIW0|A7TIW0_VANPO	GT-A	Anp1(138-445)
tr|B2W1Q9|B2W1Q9_PYRTR	GT-A	Anp1(175-439)
tr|B5RU84|B5RU84_DEBHA	GT-A	Anp1(1-286)
tr|B6HF66|B6HF66_PENRW	GT-A	Anp1(73-338)
tr|B6HTN5|B6HTN5_PENRW	GT-A	Anp1(101-365)
tr|B6K084|B6K084_SCHJY	GT-A	Anp1(44-302)
tr|B6Q280|B6Q280_TALMQ	GT-A	Anp1(101-364)
tr|B8LTS9|B8LTS9_TALSN	GT-A	Anp1(101-365)
tr|B8NA14|B8NA14_ASPFN	GT-A	Anp1(101-363)
tr|B8NFD5|B8NFD5_ASPFN	GT-A	Anp1(78-332)
tr|C0NIP4|C0NIP4_AJECG	GT-A	Anp1(101-346)
tr|C0NPC2|C0NPC2_AJECG	GT-A	Anp1(1-226)
tr|C0NQI8|C0NQI8_AJECG	GT-A	Anp1(79-345)
tr|C1G801|C1G801_PARBD	GT-A	Anp1(73-339)
tr|C1GBX5|C1GBX5_PARBD	GT-A	Anp1(101-362)
tr|C1GZ58|C1GZ58_PARBA	GT-A	Anp1(76-342)
tr|C1HAL5|C1HAL5_PARBA	GT-A	Anp1(114-375)
tr|C3Y764|C3Y764_BRAFL	GT-A	Glyco_tranf_GTA_type(91-326)
tr|C4JSW5|C4JSW5_UNCRE	GT-A	Anp1(101-364)
tr|C4Y8Z6|C4Y8Z6_CLAL4	GT-A	Glyco_tranf_GTA_type(92-349)
tr|C5DDS6|C5DDS6_LACTC	GT-A	Anp1(53-314)
tr|C5DDU3|C5DDU3_LACTC	GT-A	Anp1(41-351)
tr|C5DID3|C5DID3_LACTC	GT-A	Anp1(95-358)
tr|C5DXH7|C5DXH7_ZYGRC	GT-A	Anp1(63-325)
tr|C5FBU8|C5FBU8_ARTOC	GT-A	Anp1(74-340)
tr|C5GCN5|C5GCN5_AJEDR	GT-A	Anp1(78-343)
tr|C5M9U9|C5M9U9_CANTT	GT-A	Anp1(72-334)
tr|C5MH40|C5MH40_CANTT	GT-A	Anp1(115-372)
tr|C5MHS1|C5MHS1_CANTT	GT-A	Anp1(1-287)
tr|C6H815|C6H815_AJECH	GT-A	Anp1(101-362)
tr|C6HMK0|C6HMK0_AJECH	GT-A	Anp1(26-288)
tr|C6HSB8|C6HSB8_AJECH	GT-A	Anp1(79-345)
tr|C7YQF1|C7YQF1_NECH7	GT-A	Anp1(76-341)
tr|C7YRX3|C7YRX3_NECH7	GT-A	Anp1(101-363)
tr|C8V8U7|C8V8U7_EMENI	GT-A	Anp1(101-363)
tr|C9S6L4|C9S6L4_VERA1	GT-A	Anp1(33-295)
tr|C9SHZ1|C9SHZ1_VERA1	GT-A	Anp1(75-317)
tr|D4ANE7|D4ANE7_ARTBC	GT-A	Anp1(73-339)
tr|D5G4A2|D5G4A2_TUBMM	GT-A	Anp1(99-359)
tr|D5GN54|D5GN54_TUBMM	GT-A	Anp1(57-318)
tr|D9XC64|D9XC64_STRVT	GT-A	Glyco_tranf_GTA_type(37-262)
tr|E3Q678|E3Q678_COLGM	GT-A	Anp1(70-333)
tr|E3QQK0|E3QQK0_COLGM	GT-A	Anp1(1-226)
tr|E3RZB8|E3RZB8_PYRTT	GT-A	Anp1(43-282)
tr|E3S6B9|E3S6B9_PYRTT	GT-A	Anp1(101-365)
tr|E5R1E6|E5R1E6_ARTGP	GT-A	Anp1(74-340)
tr|E5R4V1|E5R4V1_LEPMJ	GT-A	Anp1(100-365)
tr|E7KG55|E7KG55_YEASA	GT-A	Anp1(85-394)
tr|E7KJ89|E7KJ89_YEASA	GT-A	Anp1(53-316)
tr|E7KMG7|E7KMG7_YEASL	GT-A	Anp1(10-272)
tr|E7KVN8|E7KVN8_YEASL	GT-A	Anp1(45-308)
tr|E7LTL8|E7LTL8_YEASV	GT-A	Anp1(10-272)
tr|E7NGS3|E7NGS3_YEASO	GT-A	Anp1(1-218)
tr|E7NL67|E7NL67_YEASO	GT-A	Anp1(85-394)
tr|E7NNG3|E7NNG3_YEASO	GT-A	Anp1(53-316)
tr|E7Q7E7|E7Q7E7_YEASB	GT-A	Anp1(85-394)
tr|E7QDP2|E7QDP2_YEASZ	GT-A	Anp1(1-218)
tr|E7QIS0|E7QIS0_YEASZ	GT-A	Anp1(85-394)
tr|E9D0X2|E9D0X2_COCPS	GT-A	Anp1(101-364)
tr|E9D5I3|E9D5I3_COCPS	GT-A	Anp1(73-339)
tr|E9DTP7|E9DTP7_METAQ	GT-A	Anp1(75-340)
tr|E9F0D8|E9F0D8_METRA	GT-A	Anp1(75-340)
tr|F0U582|F0U582_AJEC8	GT-A	Anp1(101-362)
tr|F0UND8|F0UND8_AJEC8	GT-A	Anp1(26-288)
tr|F0UTI4|F0UTI4_AJEC8	GT-A	Anp1(79-345)
tr|F0XII0|F0XII0_GROCL	GT-A	Anp1(77-342)
tr|F0XM64|F0XM64_GROCL	GT-A	Anp1(45-305)
tr|F0YHV5|F0YHV5_AURAN	GT-A	Glyco_tranf_GTA_type(64-325)
tr|F2PNR6|F2PNR6_TRIEC	GT-A	Anp1(73-299)
tr|F2SC98|F2SC98_TRIRC	GT-A	Anp1(73-339)
tr|F7W408|F7W408_SORMK	GT-A	Anp1(101-363)
tr|F9F231|F9F231_FUSOF	GT-A	Anp1(76-341)
tr|F9FD10|F9FD10_FUSOF	GT-A	Anp1(54-316)
tr|F9FUL8|F9FUL8_FUSOF	GT-A	Anp1(101-363)
tr|G0RFD2|G0RFD2_HYPJQ	GT-A	Anp1(73-338)
tr|G0S628|G0S628_CHATD	GT-A	Anp1(224-486)
tr|G0SCP0|G0SCP0_CHATD	GT-A	Anp1(73-338)
tr|G0SEF4|G0SEF4_CHATD	GT-A	Anp1(101-351)
tr|G0W5U8|G0W5U8_NAUDC	GT-A	Anp1(54-316)
tr|G1XKL2|G1XKL2_ARTOA	GT-A	Anp1(103-367)
tr|G1XNS9|G1XNS9_ARTOA	GT-A	Anp1(63-323)
tr|G2Q8M2|G2Q8M2_MYCTT	GT-A	Anp1(77-339)
tr|G2QTH6|G2QTH6_THITE	GT-A	Anp1(101-364)
tr|G2WRP2|G2WRP2_VERDV	GT-A	Anp1(33-295)
tr|G2X320|G2X320_VERDV	GT-A	Anp1(75-340)
tr|G2Y2F4|G2Y2F4_BOTF4	GT-A	Anp1(101-363)
tr|G3AT74|G3AT74_SPAPN	GT-A	Glyco_tranf_GTA_type(80-333)
tr|G3B304|G3B304_CANTC	GT-A	Glyco_tranf_GTA_type(33-290)
tr|G3JG56|G3JG56_CORMM	GT-A	Anp1(101-364)
tr|G3Y7H4|G3Y7H4_ASPNA	GT-A	Anp1(83-348)
tr|G3YA31|G3YA31_ASPNA	GT-A	Anp1(101-364)
tr|G4NE41|G4NE41_MAGO7	GT-A	Anp1(77-339)
tr|G4ULB7|G4ULB7_NEUT9	GT-A	Anp1(54-316)
tr|G4YS95|G4YS95_PHYSP	GT-A	Glyco_tranf_GTA_type(67-295)
tr|G4YSB0|G4YSB0_PHYSP	GT-A	Glyco_tranf_GTA_type(42-240)
tr|G4YZN8|G4YZN8_PHYSP	GT-A	Glyco_tranf_GTA_type(93-294)
tr|G7E3V4|G7E3V4_MIXOS	GT-A	Anp1(87-342)
tr|G7E8M8|G7E8M8_MIXOS	GT-A	Anp1(2-253)
tr|G7X6J3|G7X6J3_ASPKW	GT-A	Anp1(101-364)
tr|G8B4W0|G8B4W0_CANPC	GT-A	Anp1(143-410)
tr|G8BAQ8|G8BAQ8_CANPC	GT-A	Anp1(76-338)
tr|G8BB19|G8BB19_CANPC	GT-A	Anp1(129-440)
tr|G8BQW5|G8BQW5_TETPH	GT-A	Anp1(159-473)
tr|G8YBE5|G8YBE5_PICSO	GT-A	Anp1(1-284)
tr|G8YJ43|G8YJ43_PICSO	GT-A	Glyco_tranf_GTA_type(63-340)
tr|G8YM90|G8YM90_PICSO	GT-A	Anp1(1-284)
tr|G8YMN8|G8YMN8_PICSO	GT-A	Anp1(76-337)
tr|G9NCH5|G9NCH5_HYPVG	GT-A	Anp1(73-338)
tr|G9P7T5|G9P7T5_HYPAI	GT-A	Anp1(73-338)
tr|H0EFV0|H0EFV0_GLAL7	GT-A	Anp1(1-212)
