tr|A0A0K8P9Y5|A0A0K8P9Y5_9CHLR	Uncharacterized|Uncharacterized|GT-A	DUF4422(126-365)|DUF4422(404-645)|GT8_A4GalT_like(680-939)
tr|A0A0P0C8Q8|A0A0P0C8Q8_9BACT	GT-A	GT8_A4GalT_like(10-243)
tr|A0A0P0CZ02|A0A0P0CZ02_9BACT	GT-A	GT8_A4GalT_like(9-249)
tr|A0A0P0NWT3|A0A0P0NWT3_9CAUL	GT-A	GT8_A4GalT_like(3-246)
tr|A0A0P0NXG4|A0A0P0NXG4_9CAUL	GT-A	GT8_A4GalT_like(3-245)
tr|A0A0P1FUU8|A0A0P1FUU8_9RHOB	GT-A	Glyco_tranf_GTA_type(2-269)
tr|A0A0P1GHI3|A0A0P1GHI3_9RHOB	GT-A	Glyco_tranf_GTA_type(43-267)
tr|A0A0P1GSL9|A0A0P1GSL9_9RHOB	GT-A	Glyco_tranf_GTA_type(11-271)
tr|A0A0P1H0L1|A0A0P1H0L1_9RHOB	GT-A	Glyco_transf_8(77-311)
tr|A0A0P1I5S9|A0A0P1I5S9_9RHOB	GT-A	Glyco_tranf_GTA_type(560-812)
tr|A0A0P1IVT8|A0A0P1IVT8_9RHOB	GT-A	GT8_A4GalT_like(9-248)
tr|A0A0P4UR53|A0A0P4UR53_9CYAN	GT-A	Glyco_tranf_GTA_type(21-202)
tr|A0A0P4UX00|A0A0P4UX00_9CYAN	GT-A	Glyco_tranf_GTA_type(5-251)
tr|A0A0P7J4P9|A0A0P7J4P9_9RHOB	GT-A	GT8_A4GalT_like(16-250)
tr|A0A0P7JNL6|A0A0P7JNL6_9RHOB	GT-A	GT8_A4GalT_like(16-250)
tr|A0A0P9AIA0|A0A0P9AIA0_9CLOT	GT-A	GT8_A4GalT_like(1-248)
tr|A0A0Q0U4W6|A0A0Q0U4W6_LEULA	GT-A	GT8_A4GalT_like(11-261)
tr|A0A0Q3BPR3|A0A0Q3BPR3_9RHOB	GT-A	GT8_A4GalT_like(17-251)
tr|A0A0Q5SUF2|A0A0Q5SUF2_9BACT	GT-A	GT8_A4GalT_like(7-238)
tr|A0A0Q5THH2|A0A0Q5THH2_9SPHI	GT-A	GT8_A4GalT_like(6-237)
tr|A0A0Q5V597|A0A0Q5V597_9CAUL	GT-A	RfaJ(88-229)
tr|A0A0Q5W345|A0A0Q5W345_9RHIZ	GT-A	GT8_A4GalT_like(2-225)
tr|A0A0Q6C5N0|A0A0Q6C5N0_9RHIZ	GT-A	GT8_A4GalT_like(27-270)
tr|A0A0Q7P6L2|A0A0Q7P6L2_9RHIZ	GT-A	Glyco_tranf_GTA_type(24-196)
tr|A0A0Q7YRC2|A0A0Q7YRC2_9RHIZ	GT-A	Glyco_tranf_GTA_type(5-252)
tr|A0A0Q8NLT3|A0A0Q8NLT3_9ACTN	GT-A	GT8_A4GalT_like(9-267)
tr|A0A0Q9Z869|A0A0Q9Z869_9FLAO	GT-A	Glyco_tranf_GTA_type(11-262)
tr|A0A0R1JAG1|A0A0R1JAG1_9LACO	GT-A	GT8_A4GalT_like(3-245)
tr|A0A0R1JBS3|A0A0R1JBS3_9LACO	GT-A	GT8_A4GalT_like(1-249)
tr|A0A0R1JM18|A0A0R1JM18_9LACO	GT-A	GT8_A4GalT_like(4-242)
tr|A0A0R1JWT4|A0A0R1JWT4_9LACO	GT-A	GT8_A4GalT_like(3-251)
tr|A0A0R1JZN2|A0A0R1JZN2_9LACO	GT-A	Glyco_tranf_GTA_type(3-248)
tr|A0A0R1K456|A0A0R1K456_9LACO	GT-A	Glyco_tranf_GTA_type(19-262)
tr|A0A0R1K6S4|A0A0R1K6S4_9LACO	GT-A	GT8_A4GalT_like(1-250)
tr|A0A0R1LX39|A0A0R1LX39_9LACO	GT-A	GT8_A4GalT_like(4-241)
tr|A0A0R1M3J5|A0A0R1M3J5_9LACO	GT-A	Glyco_tranf_GTA_type(1-255)
tr|A0A0R1MSY0|A0A0R1MSY0_9LACO	GT-A	Glyco_tranf_GTA_type(5-262)
tr|A0A0R1MT15|A0A0R1MT15_9LACO	GT-A	GT8_A4GalT_like(6-248)
tr|A0A0R1MTC2|A0A0R1MTC2_9LACO	GT-A	Glyco_tranf_GTA_type(1-246)
tr|A0A0R1MYH6|A0A0R1MYH6_9LACO	GT-A	GT8_A4GalT_like(3-250)
tr|A0A0R1N2M2|A0A0R1N2M2_9LACO	GT-A	Glyco_tranf_GTA_type(53-226)
tr|A0A0R1N7H4|A0A0R1N7H4_9LACO	GT-A	GT8_A4GalT_like(6-246)
tr|A0A0R1N7J7|A0A0R1N7J7_9LACO	GT-A	Glyco_tranf_GTA_type(1-235)
tr|A0A0R1P3G7|A0A0R1P3G7_9LACO	GT-A	GT8_A4GalT_like(1-246)
tr|A0A0R1PHW8|A0A0R1PHW8_9LACO	GT-A	GT8_A4GalT_like(4-251)
tr|A0A0R1PJH7|A0A0R1PJH7_9LACO	GT-A	Glyco_tranf_GTA_type(37-200)
tr|A0A0R1PKN5|A0A0R1PKN5_9LACO	GT-A	GT8_A4GalT_like(3-246)
tr|A0A0R1PNL0|A0A0R1PNL0_9LACO	GT-A	GT8_A4GalT_like(4-248)
tr|A0A0R1QHM7|A0A0R1QHM7_9LACO	GT-A	Glyco_tranf_GTA_type(3-222)
tr|A0A0R1QIG9|A0A0R1QIG9_9LACO	GT-A	GT8_A4GalT_like(2-240)
tr|A0A0R1RK49|A0A0R1RK49_9LACO	GT-A	GT8_A4GalT_like(6-247)
tr|A0A0R1RS33|A0A0R1RS33_9LACO	GT-A	Glyco_tranf_GTA_type(1-237)
tr|A0A0R1S4A2|A0A0R1S4A2_9LACO	GT-A	GT8_A4GalT_like(3-251)
tr|A0A0R1U4T6|A0A0R1U4T6_9LACO	GT-A	Glyco_tranf_GTA_type(1-245)
tr|A0A0R1U5A4|A0A0R1U5A4_9LACO	GT-A	GT8_A4GalT_like(3-248)
tr|A0A0R1VIB9|A0A0R1VIB9_9LACO	GT-A	GT8_A4GalT_like(4-252)
tr|A0A0R1VY10|A0A0R1VY10_9LACO	GT-A	GT8_A4GalT_like(7-249)
tr|A0A0R1VZ15|A0A0R1VZ15_9LACO	GT-A	Glyco_tranf_GTA_type(1-236)
tr|A0A0R1W4C3|A0A0R1W4C3_9LACO	GT-A	Glyco_tranf_GTA_type(7-235)
tr|A0A0R1WDZ9|A0A0R1WDZ9_9LACO	GT-A	GT8_A4GalT_like(6-246)
tr|A0A0R1WPK6|A0A0R1WPK6_9LACO	GT-A	GT8_A4GalT_like(14-255)
tr|A0A0R1WR45|A0A0R1WR45_9LACO	GT-A	Glyco_tranf_GTA_type(3-234)
tr|A0A0R1XCB7|A0A0R1XCB7_9LACO	GT-A	GT8_A4GalT_like(1-243)
tr|A0A0R1XIT5|A0A0R1XIT5_9LACO	GT-A	Glyco_tranf_GTA_type(1-246)
tr|A0A0R1Y567|A0A0R1Y567_9LACO	GT-A	GT8_A4GalT_like(1-246)
tr|A0A0R1ZB71|A0A0R1ZB71_9LACO	GT-A	GT8_A4GalT_like(5-244)
tr|A0A0R1ZEJ7|A0A0R1ZEJ7_9LACO	GT-A	Glyco_tranf_GTA_type(1-231)
tr|A0A0R1ZJB1|A0A0R1ZJB1_9LACO	GT-A	GT8_A4GalT_like(1-247)
tr|A0A0R1ZMA4|A0A0R1ZMA4_9LACO	GT-A	GT8_A4GalT_like(8-247)
tr|A0A0R1ZPU5|A0A0R1ZPU5_9LACO	GT-A	GT8_A4GalT_like(6-262)
tr|A0A0R1ZYT9|A0A0R1ZYT9_9LACO	GT-A	Glyco_tranf_GTA_type(1-236)
tr|A0A0R1ZYU6|A0A0R1ZYU6_9LACO	GT-A	GT8_A4GalT_like(8-247)
tr|A0A0R2AAL7|A0A0R2AAL7_9LACO	GT-A	Glyco_tranf_GTA_type(1-234)
tr|A0A0R2AUW5|A0A0R2AUW5_9LACO	GT-A	Glyco_tranf_GTA_type(28-271)
tr|A0A0R2AZA4|A0A0R2AZA4_9LACO	GT-A	GT8_A4GalT_like(5-247)
tr|A0A0R2B003|A0A0R2B003_9LACO	GT-A	Glyco_tranf_GTA_type(8-235)
tr|A0A0R2B7H4|A0A0R2B7H4_LACCL	GT-A	Glyco_tranf_GTA_type(2-234)
tr|A0A0R2BEE5|A0A0R2BEE5_LACCL	GT-A	GT8_A4GalT_like(2-236)
tr|A0A0R2BG38|A0A0R2BG38_9LACO	GT-A	GT8_A4GalT_like(1-246)
tr|A0A0R2BLL8|A0A0R2BLL8_9LACO	GT-A	GT8_A4GalT_like(5-253)
tr|A0A0R2BQQ8|A0A0R2BQQ8_LACCL	GT-A	Glyco_tranf_GTA_type(1-236)
tr|A0A0R2C755|A0A0R2C755_9LACO	GT-A	GT8_A4GalT_like(5-249)
tr|A0A0R2C797|A0A0R2C797_9LACO	GT-A	Glyco_tranf_GTA_type(1-236)
tr|A0A0R2CCI4|A0A0R2CCI4_9LACO	GT-A	GT8_A4GalT_like(4-254)
tr|A0A0R2CSU2|A0A0R2CSU2_9LACO	GT-A	GT8_A4GalT_like(10-256)
tr|A0A0R2DFG0|A0A0R2DFG0_9LACO	GT-A	GT8_A4GalT_like(4-250)
tr|A0A0R2DIJ7|A0A0R2DIJ7_9LACO	GT-A	GT8_A4GalT_like(1-251)
tr|A0A0R2FB35|A0A0R2FB35_9LACO	GT-A	GT8_A4GalT_like(17-255)
tr|A0A0R2FB37|A0A0R2FB37_9LACO	GT-A	Glyco_tranf_GTA_type(1-234)
tr|A0A0R2FKV1|A0A0R2FKV1_9LACO	GT-A	GT8_A4GalT_like(4-243)
tr|A0A0R2FQM4|A0A0R2FQM4_9LACT	GT-A	GT8_A4GalT_like(21-268)
tr|A0A0R2H9S5|A0A0R2H9S5_WEIVI	GT-A	GT8_A4GalT_like(3-251)
tr|A0A0R2HSF5|A0A0R2HSF5_CARDV	GT-A	GT8_A4GalT_like(7-250)
tr|A0A0R2HWM4|A0A0R2HWM4_CARDV	GT-A	GT8_A4GalT_like(11-257)
tr|A0A0R2HWR3|A0A0R2HWR3_9LACO	GT-A	GT8_A4GalT_like(6-246)
tr|A0A0R2I1I7|A0A0R2I1I7_9LACO	GT-A	GT8_A4GalT_like(2-247)
tr|A0A0R2I8E9|A0A0R2I8E9_9LACO	GT-A	GT8_A4GalT_like(1-251)
tr|A0A0R2I8P0|A0A0R2I8P0_9LACO	GT-A	Glyco_tranf_GTA_type(1-247)
tr|A0A0R2IAJ2|A0A0R2IAJ2_9LACO	GT-A	GT8_A4GalT_like(8-248)
tr|A0A0R2IEH5|A0A0R2IEH5_9LACO	GT-A	Glyco_tranf_GTA_type(1-236)
tr|A0A0R2IY38|A0A0R2IY38_9LACO	GT-A	GT8_A4GalT_like(1-251)
tr|A0A0R2JLC9|A0A0R2JLC9_9LACT	GT-A	GT8_A4GalT_like(5-253)
tr|A0A0R2JTF3|A0A0R2JTF3_9LACO	GT-A	GT8_A4GalT_like(2-250)
tr|A0A0R2JXM2|A0A0R2JXM2_9LACO	GT-A	GT8_A4GalT_like(1-250)
tr|A0A0R2JZM4|A0A0R2JZM4_9LACO	GT-A	Glyco_tranf_GTA_type(11-255)
tr|A0A0R2K0G9|A0A0R2K0G9_9LACO	GT-A	GT8_A4GalT_like(6-246)
tr|A0A0R2K528|A0A0R2K528_9LACO	GT-A	GT8_A4GalT_like(2-250)
tr|A0A0R2KAQ7|A0A0R2KAQ7_9LACO	GT-A	GT8_A4GalT_like(8-249)
tr|A0A0R2KBP2|A0A0R2KBP2_9LACO	GT-A	GT8_A4GalT_like(2-237)
tr|A0A0R2KJ13|A0A0R2KJ13_9LACO	GT-A	Glyco_tranf_GTA_type(1-232)
tr|A0A0R2KX02|A0A0R2KX02_9LACO	GT-A	Glyco_tranf_GTA_type(10-259)
tr|A0A0R2KX22|A0A0R2KX22_9LACO	GT-A	Glyco_tranf_GTA_type(3-234)
tr|A0A0R2L2F1|A0A0R2L2F1_9LACO	GT-A	GT8_A4GalT_like(1-249)
tr|A0A0R2LA82|A0A0R2LA82_9LACO	GT-A	GT8_A4GalT_like(2-250)
tr|A0A0R2LBG2|A0A0R2LBG2_9LACO	GT-A	Glyco_tranf_GTA_type(63-236)
tr|A0A0R2LIS9|A0A0R2LIS9_9LACO	GT-A	GT8_A4GalT_like(12-259)
tr|A0A0R2LUY6|A0A0R2LUY6_9LACO	GT-A	Glyco_tranf_GTA_type(7-235)
tr|A0A0R2LXK5|A0A0R2LXK5_9LACO	GT-A	GT8_A4GalT_like(6-246)
tr|A0A0R2MB72|A0A0R2MB72_9LACO	GT-A	GT8_A4GalT_like(5-251)
tr|A0A0R2MCC7|A0A0R2MCC7_9LACO	GT-A	Glyco_tranf_GTA_type(7-235)
tr|A0A0R2MJA9|A0A0R2MJA9_9LACO	GT-A	GT8_A4GalT_like(6-246)
tr|A0A0S3PH74|A0A0S3PH74_9NOSO	GT-A	GT8_A4GalT_like(10-269)
tr|A0A0S8IIM7|A0A0S8IIM7_9BACT	GT-A	GT8_A4GalT_like(1-251)
tr|A0A0T7BPE0|A0A0T7BPE0_9CYAN	GT-A	GT8_A4GalT_like(19-272)
tr|A0A0T7BPJ7|A0A0T7BPJ7_9CYAN	GT-A	Glyco_tranf_GTA_type(63-248)
tr|A0A0U1KUI5|A0A0U1KUI5_9FIRM	GT-A	GT8_A4GalT_like(1-234)
tr|A0A0U1KV17|A0A0U1KV17_9FIRM	GT-A	GT8_A4GalT_like(5-263)
tr|A0A0U2SKB7|A0A0U2SKB7_9EURY	GT-A	GT8_A4GalT_like(2-265)
tr|A0A0U3DRU6|A0A0U3DRU6_9LACT	GT-A	GT8_A4GalT_like(7-253)
tr|A0A0U3F7D2|A0A0U3F7D2_9LACT	GT-A	GT8_A4GalT_like(1-250)
tr|A0A0U3NN17|A0A0U3NN17_9LACT	GT-A	GT8_A4GalT_like(7-255)
tr|A0A0U3P3L8|A0A0U3P3L8_9LACT	GT-A	GT8_A4GalT_like(7-256)
tr|A0A0U5H6H7|A0A0U5H6H7_9CLOT	GT-A	GT8_A4GalT_like(8-248)
tr|A0A0U5NPA3|A0A0U5NPA3_9CLOT	GT-A	Glyco_tranf_GTA_type(1-236)
tr|A0A0W0GAG8|A0A0W0GAG8_9AGAR	GT-A	GT8_A4GalT_like(63-290)
tr|A0A0W7U6M0|A0A0W7U6M0_9GAMM	GT-A	GT8_A4GalT_like(5-239)
tr|A0A0W8J9Y0|A0A0W8J9Y0_9VIBR	GT-A	Glyco_tranf_GTA_type(2-251)
tr|A0A0X3TSZ6|A0A0X3TSZ6_9RHOB	GT-A	Glyco_tranf_GTA_type(1-277)
tr|A0A0X8F9X7|A0A0X8F9X7_9LACT	GT-A	GT8_A4GalT_like(1-248)
tr|A0A0X8V0E0|A0A0X8V0E0_9EURY	GT-A	GT8_A4GalT_like(33-286)
tr|A0A0X8WX38|A0A0X8WX38_9CYAN	GT-A	Glyco_tranf_GTA_type(23-209)
tr|A0A0X8X4B7|A0A0X8X4B7_9SPHI	GT-A	GT8_A4GalT_like(11-254)
tr|A0A100YSI5|A0A100YSI5_9FIRM	GT-A	GT8_A4GalT_like(4-256)
tr|A0A100YSJ3|A0A100YSJ3_9FIRM	GT-A	Glyco_tranf_GTA_type(22-247)
tr|A0A100YVL1|A0A100YVL1_9ACTN	GT-A	GT8_A4GalT_like(18-276)
tr|A0A101KUB5|A0A101KUB5_RHILI	GT-A	Glyco_tranf_GTA_type(7-228)
tr|A0A108T9X8|A0A108T9X8_BACSE	GT-A	GT8_A4GalT_like(2-251)
tr|A0A117MJU9|A0A117MJU9_9ACTN	GT-A	GT8_A4GalT_like(1-254)
tr|A0A120A3M0|A0A120A3M0_BACSE	GT-A	GT8_A4GalT_like(4-251)
tr|A0A126P6J2|A0A126P6J2_9BACT	GT-A	GT8_A4GalT_like(10-248)
tr|A0A127V7B9|A0A127V7B9_9SPHI	GT-A	GT8_A4GalT_like(7-243)
tr|A0A127V7I7|A0A127V7I7_9SPHI	GT-A	GT8_A4GalT_like(7-239)
tr|A0A133ZUT0|A0A133ZUT0_9FIRM	GT-A	GT8_A4GalT_like(1-256)
tr|A0A136PXG2|A0A136PXG2_9ACTN	GT-A	GT8_A4GalT_like(6-256)
tr|A0A136PZT9|A0A136PZT9_9ACTN	GT-A	Glyco_tranf_GTA_type(17-284)
tr|A0A139BSX1|A0A139BSX1_9PROT	GT-A	Glyco_tranf_GTA_type(3-116)
tr|A0A139TSF5|A0A139TSF5_9BACT	GT-A	GT8_A4GalT_like(6-264)
tr|A0A139XA64|A0A139XA64_9CYAN	GT-A	Glyco_tranf_GTA_type(23-210)
tr|A0A140L0H7|A0A140L0H7_9CLOT	GT-A	Glyco_tranf_GTA_type(7-216)
tr|A0A142EQY4|A0A142EQY4_9BACT	GT-A	GT8_A4GalT_like(9-251)
tr|A0A142HFM2|A0A142HFM2_9BACT	GT-A	GT8_A4GalT_like(11-252)
tr|A0A142X5I3|A0A142X5I3_9PLAN	GT-A	GT8_A4GalT_like(8-278)
tr|A0A142YJF1|A0A142YJF1_9PLAN	GT-A	Glyco_tranf_GTA_type(1-113)
tr|A0A143WVZ4|A0A143WVZ4_9FIRM	GT-A	GT8_A4GalT_like(1-245)
tr|A0A146G6Y2|A0A146G6Y2_9BACT	GT-A	Glyco_tranf_GTA_type(4-244)
tr|A0A150F2C1|A0A150F2C1_9BACI	GT-A	GT8_A4GalT_like(7-257)
tr|A0A150M4M7|A0A150M4M7_9BACI	GT-A	GT8_A4GalT_like(2-251)
tr|A0A150MNK1|A0A150MNK1_9BACI	GT-A	GT8_A4GalT_like(55-304)
tr|A0A150X621|A0A150X621_9BACT	GT-A	GT8_A4GalT_like(10-263)
tr|A0A159Z5C1|A0A159Z5C1_9RHOB	GT-A	GT8_A4GalT_like(20-249)
tr|A0A161LIY2|A0A161LIY2_9ACTN	GT-A	GT8_A4GalT_like(8-258)
tr|A0A161MC97|A0A161MC97_9ACTN	GT-A	GT8_A4GalT_like(15-260)
tr|A0A165WLG9|A0A165WLG9_9BACI	GT-A	GT8_A4GalT_like(2-252)
tr|A0A166ALK0|A0A166ALK0_9EURY	GT-A	GT8_A4GalT_like(1188-1444)
tr|A0A172Q7B4|A0A172Q7B4_9STRE	GT-A	GT8_A4GalT_like(4-253)
tr|A0A172TQV6|A0A172TQV6_9BACT	GT-A	GT8_A4GalT_like(1-239)
tr|A0A172TZS4|A0A172TZS4_9BACT	GT-A	GT8_A4GalT_like(8-245)
tr|A0A174HGH7|A0A174HGH7_9CLOT	GT-A	Glyco_tranf_GTA_type(20-197)
tr|A0A174MJB6|A0A174MJB6_9BACT	GT-A	GT8_A4GalT_like(22-278)
tr|A0A177P687|A0A177P687_9RHIZ	GT-A	Glyco_tranf_GTA_type(85-189)
tr|A0A177QWQ0|A0A177QWQ0_9PROT	GT-A	Glyco_tranf_GTA_type(14-239)
tr|A0A178HVZ7|A0A178HVZ7_9RHIZ	GT-A	GT8_A4GalT_like(5-247)
tr|A0A178IJM5|A0A178IJM5_9BACT	GT-A	GT8_A4GalT_like(7-252)
tr|A0A179DC87|A0A179DC87_9SPHI	GT-A	Glyco_tranf_GTA_type(5-244)
tr|A0A179DIC7|A0A179DIC7_9SPHI	GT-A	GT8_A4GalT_like(8-231)
tr|A0A192GZG4|A0A192GZG4_9LACO	GT-A	GT8_A4GalT_like(1-251)
tr|A0A192GZP1|A0A192GZP1_9LACO	GT-A	GT8_A4GalT_like(4-253)
tr|A0A192H1S9|A0A192H1S9_9LACO	GT-A	Glyco_tranf_GTA_type(15-237)
tr|A0A197ZZZ0|A0A197ZZZ0_9BACL	GT-A	GT8_A4GalT_like(4-236)
tr|A0A1A7Q1N6|A0A1A7Q1N6_9PAST	GT-A	GT8_A4GalT_like(7-258)
tr|A0A1A9FTD5|A0A1A9FTD5_9RHIZ	GT-A	Glyco_tranf_GTA_type(9-239)
tr|A0A1B1SC39|A0A1B1SC39_9BACT	GT-A	GT8_A4GalT_like(6-254)
tr|A0A1B1SCC8|A0A1B1SCC8_9BACT	GT-A	GT8_A4GalT_like(1-250)
tr|A0A1B1U4G0|A0A1B1U4G0_9HELI	GT-A	GT8_A4GalT_like(38-273)
tr|A0A1B1U622|A0A1B1U622_9HELI	GT-A	GT8_A4GalT_like(4-281)
tr|A0A1B3LMH6|A0A1B3LMH6_9PROT	GT-A	GT8_A4GalT_like(24-258)
tr|A0A1B7XFN5|A0A1B7XFN5_9FLAO	GT-A	GT8_A4GalT_like(3-262)
tr|A0A1B8J8W0|A0A1B8J8W0_9HELI	GT-A	GT8_A4GalT_like(13-295)
tr|A0A1B8WNF5|A0A1B8WNF5_9BACI	GT-A	GT8_A4GalT_like(4-238)
tr|A0A1B9B1U3|A0A1B9B1U3_9BACI	GT-A	GT8_A4GalT_like(2-249)
tr|A0A1B9ES87|A0A1B9ES87_9ACTN	GT-A	GT8_A4GalT_like(2-249)
tr|A0A1C0VT92|A0A1C0VT92_9CYAN	GT-A	Glyco_tranf_GTA_type(1-217)
tr|A0A1C0VUF2|A0A1C0VUF2_9CYAN	GT-A	Glyco_tranf_GTA_type(86-241)
tr|A0A1C2GNW4|A0A1C2GNW4_9SPHI	GT-A	GT8_A4GalT_like(10-247)
tr|A0A1C2GSR7|A0A1C2GSR7_9SPHI	GT-A	Glyco_tranf_GTA_type(1-171)
tr|A0A1C4ARN6|A0A1C4ARN6_9GAMM	GT-A	GT8_A4GalT_like(5-248)
tr|A0A1C4Z9A8|A0A1C4Z9A8_MICEC	GT-A	GT8_A4GalT_like(56-249)
tr|A0A1C5GPF0|A0A1C5GPF0_9ACTN	GT-A	GT8_A4GalT_like(7-251)
tr|A0A1C5JZ83|A0A1C5JZ83_9ACTN	GT-A	GT8_A4GalT_like(1-249)
tr|A0A1C6RA69|A0A1C6RA69_9ACTN	GT-A	GT8_A4GalT_like(1-249)
tr|A0A1C7I4V0|A0A1C7I4V0_9FIRM	GT-A	GT8_A4GalT_like(1-256)
tr|A0A1C7PAC9|A0A1C7PAC9_9BACT	GT-A	GT8_A4GalT_like(11-269)
tr|A0A1C7PCU5|A0A1C7PCU5_9BACT	GT-A	GT8_A4GalT_like(10-268)
tr|A0A1C7PDV3|A0A1C7PDV3_9BACT	GT-A	GT8_A4GalT_like(11-270)
tr|A0A1D2P7H6|A0A1D2P7H6_9CYAN	GT-A	Glyco_tranf_GTA_type(10-249)
tr|A0A1D2P9H0|A0A1D2P9H0_9CYAN	GT-A	GT8_A4GalT_like(12-262)
tr|A0A1D8P9B9|A0A1D8P9B9_9FLAO	GT-A	Glyco_tranf_GTA_type(1-190)
tr|A0A1D9P4A6|A0A1D9P4A6_9FIRM	GT-A	GT8_A4GalT_like(1-249)
tr|A0A1E3G0T2|A0A1E3G0T2_9BACT	GT-A	Glyco_tranf_GTA_type(24-240)
tr|A0A1E4DYG3|A0A1E4DYG3_9RHIZ	GT-A	GT8_A4GalT_like(28-269)
tr|A0A1E4HBZ0|A0A1E4HBZ0_9GAMM	GT-A	Glyco_tranf_GTA_type(2-240)
tr|A0A1E4PP03|A0A1E4PP03_9PROT	GT-A	GT8_A4GalT_like(19-277)
tr|A0A1E5GPS9|A0A1E5GPS9_9ENTE	GT-A	GT8_A4GalT_like(6-254)
tr|A0A1E5QJ84|A0A1E5QJ84_9CYAN	GT-A	GT8_A4GalT_like(1-243)
tr|A0A1E7EKN0|A0A1E7EKN0_9STRA	GT-A	Glyco_tranf_GTA_type(98-347)
tr|A0A1E7FWH7|A0A1E7FWH7_9STRA	GT-A	Glyco_tranf_GTA_type(98-310)
tr|A0A1E7UBD7|A0A1E7UBD7_9GAMM	GT-A	GT8_A4GalT_like(4-262)
tr|A0A1E8GMV4|A0A1E8GMV4_9LACT	GT-A	GT8_A4GalT_like(5-251)
tr|A0A1E8Y9Q9|A0A1E8Y9Q9_9LACT	GT-A	GT8_A4GalT_like(1-245)
tr|A0A1F3RV54|A0A1F3RV54_9PROT	GT-A	Glyco_tranf_GTA_type(17-140)
tr|A0A1F5TS67|A0A1F5TS67_9BACT	GT-A	Glyco_tranf_GTA_type(9-191)
tr|A0A1F5YMR1|A0A1F5YMR1_9BACT	GT-A	Glyco_tranf_GTA_type(87-240)
tr|A0A1F7CKF8|A0A1F7CKF8_9BACT	GT-A	GT8_A4GalT_like(5-256)
tr|A0A1F7IGC4|A0A1F7IGC4_9BACT	GT-A	Glyco_tranf_GTA_type(25-233)
tr|A0A1F7KZ79|A0A1F7KZ79_9BACT	GT-A	Glyco_tranf_GTA_type(6-239)
tr|A0A1F7L107|A0A1F7L107_9BACT	GT-A	Glyco_tranf_GTA_type(23-240)
tr|A0A1F9YG71|A0A1F9YG71_9BACT	GT-A	Glyco_tranf_GTA_type(19-182)
tr|A0A1G1JEQ9|A0A1G1JEQ9_9BACT	GT-A	Glyco_tranf_GTA_type(126-366)
tr|A0A1G1TJP9|A0A1G1TJP9_9BACT	GT-A	GT8_A4GalT_like(12-251)
tr|A0A1G2CF95|A0A1G2CF95_9BACT	GT-A	GT8_A4GalT_like(13-259)
tr|A0A1G4FMH2|A0A1G4FMH2_9FIRM	GT-A	GT8_A4GalT_like(1-247)
tr|A0A1G4PR50|A0A1G4PR50_9RHIZ	GT-A	GT8_A4GalT_like(3-242)
tr|A0A1G4TIM9|A0A1G4TIM9_9RHIZ	GT-A	Glyco_tranf_GTA_type(33-243)
tr|A0A1G4W561|A0A1G4W561_9FIRM	GT-A	Glyco_tranf_GTA_type(1-211)
tr|A0A1G4WSU7|A0A1G4WSU7_9FIRM	GT-A	GT8_A4GalT_like(7-240)
tr|A0A1G5F542|A0A1G5F542_9FIRM	GT-A	GT8_A4GalT_like(1-249)
tr|A0A1G5F6L9|A0A1G5F6L9_9FIRM	GT-A	GT8_A4GalT_like(1-249)
tr|A0A1G5F932|A0A1G5F932_9FIRM	GT-A	GT8_A4GalT_like(1-262)
tr|A0A1G5ILY8|A0A1G5ILY8_9RHOB	GT-A	GT8_A4GalT_like(3-235)
tr|A0A1G5Y5F4|A0A1G5Y5F4_9BACT	GT-A	GT8_A4GalT_like(8-252)
tr|A0A1G6A942|A0A1G6A942_9STRE	GT-A	GT8_A4GalT_like(4-253)
tr|A0A1G6C883|A0A1G6C883_9FIRM	GT-A	Glyco_tranf_GTA_type(2-212)
tr|A0A1G6Z223|A0A1G6Z223_9SPHI	GT-A	Glyco_tranf_GTA_type(3-247)
tr|A0A1G7AKH0|A0A1G7AKH0_9RHOB	GT-A	Glyco_tranf_GTA_type(17-249)
tr|A0A1G7Q520|A0A1G7Q520_9DELT	GT-A	Glyco_tranf_GTA_type(77-237)
tr|A0A1G7QK89|A0A1G7QK89_9GAMM	GT-A	GT8_A4GalT_like(7-251)
tr|A0A1G7XWW0|A0A1G7XWW0_9RHIZ	GT-A	GT8_A4GalT_like(8-251)
tr|A0A1G7XWX7|A0A1G7XWX7_9RHIZ	GT-A	GT8_A4GalT_like(10-253)
tr|A0A1G7Y224|A0A1G7Y224_CHIFI	GT-A	Glyco_tranf_GTA_type(1-241)
tr|A0A1G8KYJ9|A0A1G8KYJ9_9ACTN	GT-A	GT8_A4GalT_like(7-261)
tr|A0A1G8L2Y6|A0A1G8L2Y6_9RHOB	GT-A	GT8_A4GalT_like(21-278)
tr|A0A1G8UUN4|A0A1G8UUN4_9SPHI	GT-A	GT8_A4GalT_like(7-238)
tr|A0A1G9E3P9|A0A1G9E3P9_9RHOB	GT-A	Glyco_tranf_GTA_type(17-246)
tr|A0A1G9HJ52|A0A1G9HJ52_9RHOB	GT-A	GT8_A4GalT_like(10-269)
tr|A0A1G9QBD8|A0A1G9QBD8_9BACT	GT-A	Glyco_tranf_GTA_type(13-231)
tr|A0A1G9U7J4|A0A1G9U7J4_9FLAO	GT-A	GT8_A4GalT_like(1-242)
