tr|A0A1S3Y3Q1|A0A1S3Y3Q1_TOBAC	TMhelix|Voltage_gated_ClC|GT-A	TMhelix(89-111)|Voltage_gated_ClC(77-138)|GlcAT-I(192-423)
tr|A0A182FQR6|A0A182FQR6_ANOAL	PLN02502|GT-A	PLN02502(547-1066)|GlcAT-I(1174-1417)
tr|E3L5J4|E3L5J4_PUCGT	Ninjurin|TMhelix|GT-A	Ninjurin(66-98)|TMhelix(76-98)|Glyco_tranf_GTA_type(270-457)
tr|A0A182RIE8|A0A182RIE8_ANOFN	MogA_MoaB|MoeA|GT-A	MogA_MoaB(2-152)|MoeA(201-558)|GlcAT-I(623-865)
tr|A0A182W0P5|A0A182W0P5_9DIPT	MogA_MoaB|MoeA|GT-A	MogA_MoaB(2-152)|MoeA(203-558)|GlcAT-I(624-866)
tr|A0A182IZW3|A0A182IZW3_9DIPT	MogA_MoaB|MoCF_BD|GT-A	MogA_MoaB(2-152)|MoCF_BD(201-422)|GlcAT-I(456-699)
tr|G3HW23|G3HW23_CRIGR	Mito_morph_reg|TMhelix|TMhelix|TMhelix|GT-A	Mito_morph_reg(26-122)|TMhelix(76-98)|TMhelix(103-125)|TMhelix(182-199)|Glyco_transf_43(280-490)
tr|A0A1W0VVZ0|A0A1W0VVZ0_SORBI	GT-A|tolA	Glyco_tranf_GTA_type(1-200)|tolA(204-261)
tr|A0A1I8C6R1|A0A1I8C6R1_9BILA	GT-A|TMhelix|TMhelix	Glyco_tranf_GTA_type(9-239)|TMhelix(131-149)|TMhelix(154-176)
tr|A0A1X7UY65|A0A1X7UY65_AMPQE	GT-A|TMhelix|PRK12704|GT-A|GT-A|GT-A|DRY_EERY	Galactosyl_T(15-277)|TMhelix(282-299)|PRK12704(282-420)|GlcAT-I(377-609)|GlcAT-I(696-928)|GlcAT-I(937-1156)|DRY_EERY(1164-1289)
tr|A0A1X7UZC7|A0A1X7UZC7_AMPQE	GT-A|TMhelix|PRK12704|GT-A	Galactosyl_T(101-372)|TMhelix(377-394)|PRK12704(377-515)|GlcAT-I(472-704)
tr|A0A251VN54|A0A251VN54_HELAN	GT-A|TMhelix	Glyco_transf_43(45-270)|TMhelix(293-315)
tr|A0A1S3LPY0|A0A1S3LPY0_SALSA	GT-A|SERPIN	Glyco_transf_43(109-313)|SERPIN(309-363)
tr|A0A0D3EJT8|A0A0D3EJT8_9ORYZ	GT-A|PTZ00341	Glyco_tranf_GTA_type(1-295)|PTZ00341(287-488)
tr|A0A0E0BXE2|A0A0E0BXE2_9ORYZ	GT-A|PTZ00341	Glyco_tranf_GTA_type(1-349)|PTZ00341(341-542)
tr|A0A0E0MRK3|A0A0E0MRK3_ORYRU	GT-A|PTZ00341	Glyco_tranf_GTA_type(1-350)|PTZ00341(342-543)
sp|Q5ZCC5|GT11_ORYSJ	GT-A|MDN1	Glyco_tranf_GTA_type(1-350)|MDN1(261-523)
tr|A0A0D9Y3H5|A0A0D9Y3H5_9ORYZ	GT-A|MDN1	Glyco_tranf_GTA_type(1-352)|MDN1(344-511)
tr|A2WKX1|A2WKX1_ORYSI	GT-A|MDN1	Glyco_tranf_GTA_type(1-343)|MDN1(261-525)
tr|A0A1J1IB27|A0A1J1IB27_9DIPT	GT-A|GT-A	GlcAT-I(12-240)|GlcAT-I(250-467)
tr|A0A1L8GP48|A0A1L8GP48_XENLA	GT-A|GT-A	Glyco_transf_43(1-99)|GlcAT-I(144-364)
tr|L9KQP8|L9KQP8_TUPCH	GT-A|GT-A	Glyco_transf_43(90-330)|Glyco_transf_43(331-563)
tr|A0A1I7VLA3|A0A1I7VLA3_LOALO	GT-A|DUF572	GlcAT-I(66-286)|DUF572(293-506)
tr|A0A2A2JIR1|A0A2A2JIR1_9BILA	GT-A|DUF572	GlcAT-I(39-269)|DUF572(291-533)
tr|A0A2P4J380|A0A2P4J380_QUESU	GT-A|DUF4005|DnaJ	Glyco_tranf_GTA_type(1-314)|DUF4005(743-803)|DnaJ(847-906)
sp|B9FCV3|GT43_ORYSJ	GT-A	Glyco_tranf_GTA_type(170-402)
sp|O94766|B3GA3_HUMAN	GT-A	GlcAT-I(75-313)
sp|O97422|B3GI_DROME	GT-A	GlcAT-I(50-284)
sp|P58158|B3GA3_MOUSE	GT-A	GlcAT-I(75-313)
sp|Q10N05|GT32_ORYSJ	GT-A	Glyco_tranf_GTA_type(21-337)
sp|Q6Z3Y6|GT71_ORYSJ	GT-A	Glyco_tranf_GTA_type(14-335)
tr|A0A016SNG3|A0A016SNG3_9BILA	GT-A	Glyco_transf_43(71-277)
tr|A0A067JYN8|A0A067JYN8_JATCU	GT-A	Glyco_tranf_GTA_type(1-348)
tr|A0A067RD25|A0A067RD25_ZOONE	GT-A	GlcAT-I(64-282)
tr|A0A068XFY8|A0A068XFY8_HYMMI	GT-A	Glyco_transf_43(21-234)
tr|A0A068XM45|A0A068XM45_HYMMI	GT-A	Glyco_transf_43(52-258)
tr|A0A068XR40|A0A068XR40_HYMMI	GT-A	Glyco_transf_43(76-279)
tr|A0A068XUG5|A0A068XUG5_HYMMI	GT-A	Glyco_transf_43(607-809)
tr|A0A068XWF5|A0A068XWF5_ECHMU	GT-A	Glyco_transf_43(48-242)
tr|A0A087VYF7|A0A087VYF7_ECHMU	GT-A	Glyco_transf_43(43-245)
tr|A0A087W1Q4|A0A087W1Q4_ECHMU	GT-A	Glyco_transf_43(34-247)
tr|A0A0D2UR10|A0A0D2UR10_CAPO3	GT-A	Glyco_tranf_GTA_type(109-439)
tr|A0A0D2VW73|A0A0D2VW73_CAPO3	GT-A	Glyco_transf_43(158-390)
tr|A0A0D2WV95|A0A0D2WV95_CAPO3	GT-A	Glyco_transf_43(140-372)
tr|A0A0D3FH48|A0A0D3FH48_9ORYZ	GT-A	Glyco_tranf_GTA_type(21-340)
tr|A0A0D3G0Z9|A0A0D3G0Z9_9ORYZ	GT-A	Glyco_tranf_GTA_type(170-402)
tr|A0A0D3GVC1|A0A0D3GVC1_9ORYZ	GT-A	Glyco_tranf_GTA_type(14-335)
tr|A0A0D9Z5Q6|A0A0D9Z5Q6_9ORYZ	GT-A	Glyco_tranf_GTA_type(21-342)
tr|A0A0D9ZRN6|A0A0D9ZRN6_9ORYZ	GT-A	Glyco_tranf_GTA_type(170-402)
tr|A0A0E0APN8|A0A0E0APN8_9ORYZ	GT-A	Glyco_tranf_GTA_type(14-301)
tr|A0A0E0CZ40|A0A0E0CZ40_9ORYZ	GT-A	Glyco_tranf_GTA_type(21-342)
tr|A0A0E0D9W1|A0A0E0D9W1_9ORYZ	GT-A	Glyco_transf_43(230-438)
tr|A0A0E0DJ81|A0A0E0DJ81_9ORYZ	GT-A	Glyco_tranf_GTA_type(170-402)
tr|A0A0E0EGI6|A0A0E0EGI6_9ORYZ	GT-A	Glyco_tranf_GTA_type(14-342)
tr|A0A0E0FGH5|A0A0E0FGH5_ORYNI	GT-A	Glyco_tranf_GTA_type(1-350)
tr|A0A0E0GKZ9|A0A0E0GKZ9_ORYNI	GT-A	Glyco_tranf_GTA_type(21-342)
tr|A0A0E0H6P8|A0A0E0H6P8_ORYNI	GT-A	Glyco_tranf_GTA_type(170-402)
tr|A0A0E0I638|A0A0E0I638_ORYNI	GT-A	Glyco_tranf_GTA_type(14-335)
tr|A0A0E0JEA3|A0A0E0JEA3_ORYPU	GT-A	Glyco_tranf_GTA_type(1-340)
tr|A0A0E0KCB1|A0A0E0KCB1_ORYPU	GT-A	Glyco_tranf_GTA_type(21-336)
tr|A0A0E0KM10|A0A0E0KM10_ORYPU	GT-A	Glyco_transf_43(126-336)
tr|A0A0E0KW09|A0A0E0KW09_ORYPU	GT-A	Glyco_tranf_GTA_type(170-401)
tr|A0A0E0LQ65|A0A0E0LQ65_ORYPU	GT-A	Glyco_tranf_GTA_type(104-359)
tr|A0A0E0NTL2|A0A0E0NTL2_ORYRU	GT-A	Glyco_tranf_GTA_type(21-342)
tr|A0A0E0PEY3|A0A0E0PEY3_ORYRU	GT-A	Glyco_tranf_GTA_type(170-402)
tr|A0A0E0QD51|A0A0E0QD51_ORYRU	GT-A	Glyco_tranf_GTA_type(14-335)
tr|A0A0K0J820|A0A0K0J820_BRUMA	GT-A	Glyco_transf_43(56-256)
tr|A0A0K3CQK3|A0A0K3CQK3_RHOTO	GT-A	Glyco_transf_43(53-263)
tr|A0A0L0G068|A0A0L0G068_9EUKA	GT-A	GlcAT-I(12-238)
tr|A0A0L0V7J8|A0A0L0V7J8_9BASI	GT-A	Glyco_tranf_GTA_type(312-499)
tr|A0A0M3QYX7|A0A0M3QYX7_DROBS	GT-A	GlcAT-I(52-285)
tr|A0A0P5GEF0|A0A0P5GEF0_9CRUS	GT-A	GlcAT-I(97-314)
tr|A0A0R4IPP8|A0A0R4IPP8_DANRE	GT-A	Glyco_transf_43(105-315)
tr|A0A131ZYY8|A0A131ZYY8_SARSC	GT-A	GlcAT-I(18-251)
tr|A0A132A3X1|A0A132A3X1_SARSC	GT-A	Glyco_transf_43(141-343)
tr|A0A151IJW4|A0A151IJW4_9HYME	GT-A	GlcAT-I(141-359)
tr|A0A151TUW6|A0A151TUW6_CAJCA	GT-A	Glyco_tranf_GTA_type(1-337)
tr|A0A151WTU3|A0A151WTU3_9HYME	GT-A	GlcAT-I(139-359)
tr|A0A154PUE2|A0A154PUE2_9HYME	GT-A	GlcAT-I(130-350)
tr|A0A158NKE5|A0A158NKE5_ATTCE	GT-A	GlcAT-I(139-359)
tr|A0A176WH41|A0A176WH41_MARPO	GT-A	Glyco_transf_43(191-428)
tr|A0A182E2K7|A0A182E2K7_ONCOC	GT-A	Glyco_transf_43(76-280)
tr|A0A182F936|A0A182F936_ANOAL	GT-A	GlcAT-I(249-466)
tr|A0A182G278|A0A182G278_AEDAL	GT-A	GlcAT-I(88-306)
tr|A0A182GDD4|A0A182GDD4_AEDAL	GT-A	GlcAT-I(89-296)
tr|A0A182HKP2|A0A182HKP2_ANOAR	GT-A	GlcAT-I(180-397)
tr|A0A182JQH0|A0A182JQH0_9DIPT	GT-A	GlcAT-I(186-403)
tr|A0A182KEA7|A0A182KEA7_9DIPT	GT-A	GlcAT-I(59-278)
tr|A0A182L8Y8|A0A182L8Y8_9DIPT	GT-A	GlcAT-I(181-398)
tr|A0A182M4C3|A0A182M4C3_9DIPT	GT-A	GlcAT-I(200-411)
tr|A0A182M4K6|A0A182M4K6_9DIPT	GT-A	GlcAT-I(92-311)
tr|A0A182N497|A0A182N497_9DIPT	GT-A	GlcAT-I(175-392)
tr|A0A182NT56|A0A182NT56_9DIPT	GT-A	GlcAT-I(90-309)
tr|A0A182P2J6|A0A182P2J6_9DIPT	GT-A	GlcAT-I(187-404)
tr|A0A182PTY9|A0A182PTY9_9DIPT	GT-A	GlcAT-I(100-319)
tr|A0A182QH33|A0A182QH33_9DIPT	GT-A	GlcAT-I(173-390)
tr|A0A182RZ78|A0A182RZ78_ANOFN	GT-A	GlcAT-I(194-411)
tr|A0A182SYL3|A0A182SYL3_9DIPT	GT-A	Glyco_transf_43(1-221)
tr|A0A182VR66|A0A182VR66_9DIPT	GT-A	GlcAT-I(160-377)
tr|A0A182WA06|A0A182WA06_9DIPT	GT-A	GlcAT-I(104-323)
tr|A0A182X9Q7|A0A182X9Q7_ANOQN	GT-A	GlcAT-I(180-397)
tr|A0A182YGD3|A0A182YGD3_ANOST	GT-A	GlcAT-I(197-414)
tr|A0A195B0J1|A0A195B0J1_9HYME	GT-A	GlcAT-I(133-353)
tr|A0A195EIJ9|A0A195EIJ9_9HYME	GT-A	GlcAT-I(140-359)
tr|A0A195FBH4|A0A195FBH4_9HYME	GT-A	GlcAT-I(134-353)
tr|A0A199VC58|A0A199VC58_ANACO	GT-A	Glyco_transf_43(7-192)
tr|A0A199VJ02|A0A199VJ02_ANACO	GT-A	Glyco_transf_43(217-459)
tr|A0A199VZW6|A0A199VZW6_ANACO	GT-A	Glyco_tranf_GTA_type(1-368)
tr|A0A199W0P2|A0A199W0P2_ANACO	GT-A	Glyco_tranf_GTA_type(1-351)
tr|A0A1A6G060|A0A1A6G060_NEOLE	GT-A	GlcAT-I(75-313)
tr|A0A1A9V063|A0A1A9V063_GLOAU	GT-A	GlcAT-I(35-269)
tr|A0A1A9V9N1|A0A1A9V9N1_GLOAU	GT-A	GlcAT-I(105-322)
tr|A0A1A9VRA0|A0A1A9VRA0_GLOAU	GT-A	GlcAT-I(53-287)
tr|A0A1A9YR06|A0A1A9YR06_GLOFF	GT-A	GlcAT-I(51-285)
tr|A0A1A9ZVH0|A0A1A9ZVH0_GLOPL	GT-A	GlcAT-I(52-286)
tr|A0A1B0A030|A0A1B0A030_GLOPL	GT-A	GlcAT-I(96-330)
tr|A0A1B0FM05|A0A1B0FM05_GLOMM	GT-A	GlcAT-I(29-263)
tr|A0A1B0G275|A0A1B0G275_GLOMM	GT-A	GlcAT-I(3-239)
tr|A0A1B1IJK3|A0A1B1IJK3_PHYPA	GT-A	Glyco_transf_43(170-431)
tr|A0A1D1UX92|A0A1D1UX92_RAMVA	GT-A	GlcAT-I(40-271)
tr|A0A1D2MKR5|A0A1D2MKR5_ORCCI	GT-A	GlcAT-I(14-235)
tr|A0A1D2MRZ0|A0A1D2MRZ0_ORCCI	GT-A	Glyco_transf_43(1348-1518)
tr|A0A1D2N145|A0A1D2N145_ORCCI	GT-A	GlcAT-I(96-325)
tr|A0A1D2N2N6|A0A1D2N2N6_ORCCI	GT-A	GlcAT-I(99-318)
tr|A0A1D5P9Q8|A0A1D5P9Q8_CHICK	GT-A	GlcAT-I(60-286)
tr|A0A1D5TH20|A0A1D5TH20_WHEAT	GT-A	Glyco_tranf_GTA_type(163-395)
tr|A0A1D5TJJ7|A0A1D5TJJ7_WHEAT	GT-A	Glyco_tranf_GTA_type(105-341)
tr|A0A1D5TJJ8|A0A1D5TJJ8_WHEAT	GT-A	Glyco_tranf_GTA_type(22-340)
tr|A0A1D5TXX0|A0A1D5TXX0_WHEAT	GT-A	Glyco_tranf_GTA_type(163-395)
tr|A0A1D5UEH8|A0A1D5UEH8_WHEAT	GT-A	Glyco_tranf_GTA_type(111-342)
tr|A0A1D5UEH9|A0A1D5UEH9_WHEAT	GT-A	Glyco_tranf_GTA_type(22-340)
tr|A0A1D5V009|A0A1D5V009_WHEAT	GT-A	Glyco_tranf_GTA_type(94-337)
tr|A0A1D5V010|A0A1D5V010_WHEAT	GT-A	Glyco_tranf_GTA_type(107-343)
tr|A0A1D5WUM3|A0A1D5WUM3_WHEAT	GT-A	Glyco_tranf_GTA_type(1-457)
tr|A0A1D6D795|A0A1D6D795_WHEAT	GT-A	Glyco_tranf_GTA_type(14-305)
tr|A0A1D6DW29|A0A1D6DW29_MAIZE	GT-A	Glyco_tranf_GTA_type(175-406)
tr|A0A1D6F515|A0A1D6F515_MAIZE	GT-A	Glyco_tranf_GTA_type(25-330)
tr|A0A1D6JG22|A0A1D6JG22_MAIZE	GT-A	Glyco_tranf_GTA_type(177-400)
tr|A0A1D6LGV0|A0A1D6LGV0_MAIZE	GT-A	Glyco_tranf_GTA_type(12-312)
tr|A0A1D6ML47|A0A1D6ML47_MAIZE	GT-A	Glyco_transf_43(96-286)
tr|A0A1E5VGP5|A0A1E5VGP5_9POAL	GT-A	Glyco_tranf_GTA_type(18-345)
tr|A0A1E5VLX5|A0A1E5VLX5_9POAL	GT-A	Glyco_tranf_GTA_type(23-338)
tr|A0A1E5VX52|A0A1E5VX52_9POAL	GT-A	Glyco_tranf_GTA_type(1-194)
tr|A0A1E5VX79|A0A1E5VX79_9POAL	GT-A	Glyco_tranf_GTA_type(170-401)
tr|A0A1E5WFQ9|A0A1E5WFQ9_9POAL	GT-A	Glyco_tranf_GTA_type(1-330)
tr|A0A1I7RIV4|A0A1I7RIV4_BURXY	GT-A	Glyco_tranf_GTA_type(3-194)
tr|A0A1I7RNH2|A0A1I7RNH2_BURXY	GT-A	Glyco_transf_43(96-294)
tr|A0A1I7RQB9|A0A1I7RQB9_BURXY	GT-A	Glyco_tranf_GTA_type(43-259)
tr|A0A1I7RYX6|A0A1I7RYX6_BURXY	GT-A	Glyco_transf_43(90-290)
tr|A0A1I7SUK4|A0A1I7SUK4_BURXY	GT-A	Glyco_tranf_GTA_type(1-176)
tr|A0A1I7SVI0|A0A1I7SVI0_BURXY	GT-A	Glyco_transf_43(85-286)
tr|A0A1I7SW75|A0A1I7SW75_BURXY	GT-A	GlcAT-I(92-321)
tr|A0A1I7TU61|A0A1I7TU61_9PELO	GT-A	Glyco_transf_43(1-202)
tr|A0A1I7U7S1|A0A1I7U7S1_9PELO	GT-A	Glyco_transf_43(48-254)
tr|A0A1I7U7S2|A0A1I7U7S2_9PELO	GT-A	Glyco_transf_43(53-259)
tr|A0A1I7VKW0|A0A1I7VKW0_LOALO	GT-A	Glyco_transf_43(33-233)
tr|A0A1I8CBH8|A0A1I8CBH8_9BILA	GT-A	Glyco_transf_43(7-217)
tr|A0A1I8CC45|A0A1I8CC45_9BILA	GT-A	GlcAT-I(65-293)
tr|A0A1I8CKA9|A0A1I8CKA9_9BILA	GT-A	Glyco_transf_43(40-248)
tr|A0A1I8CLD1|A0A1I8CLD1_9BILA	GT-A	GlcAT-I(20-246)
tr|A0A1I8CLD9|A0A1I8CLD9_9BILA	GT-A	Glyco_transf_43(53-257)
tr|A0A1I8D4E3|A0A1I8D4E3_9BILA	GT-A	Glyco_tranf_GTA_type(55-280)
tr|A0A1I8NYU9|A0A1I8NYU9_STOCA	GT-A	GlcAT-I(283-504)
tr|A0A1I8NYW1|A0A1I8NYW1_STOCA	GT-A	GlcAT-I(52-286)
tr|A0A1J1IB63|A0A1J1IB63_9DIPT	GT-A	GlcAT-I(130-350)
tr|A0A1J1IG96|A0A1J1IG96_9DIPT	GT-A	GlcAT-I(92-312)
tr|A0A1J6KQR0|A0A1J6KQR0_NICAT	GT-A	GlcAT-I(98-329)
tr|A0A1L8H5J6|A0A1L8H5J6_XENLA	GT-A	Glyco_transf_43(113-323)
tr|A0A1Q3BME9|A0A1Q3BME9_CEPFO	GT-A	PLN02458(1-334)
tr|A0A1S2XSS2|A0A1S2XSS2_CICAR	GT-A	Glyco_tranf_GTA_type(1-331)
tr|A0A1S2ZY74|A0A1S2ZY74_ERIEU	GT-A	GlcAT-I(75-313)
tr|A0A1S3A499|A0A1S3A499_ERIEU	GT-A	GlcAT-I(84-313)
tr|A0A1S3CUY6|A0A1S3CUY6_DIACI	GT-A	GlcAT-I(73-291)
tr|A0A1S3G7E3|A0A1S3G7E3_DIPOR	GT-A	GlcAT-I(69-307)
tr|A0A1S3ITE2|A0A1S3ITE2_LINUN	GT-A	GlcAT-I(95-324)
tr|A0A1S3NT74|A0A1S3NT74_SALSA	GT-A	Glyco_transf_43(130-340)
tr|A0A1S3TPK0|A0A1S3TPK0_VIGRR	GT-A	Glyco_tranf_GTA_type(1-336)
tr|A0A1U7RI35|A0A1U7RI35_ALLSI	GT-A	Glyco_transf_43(104-314)
tr|A0A1U7RW10|A0A1U7RW10_ALLSI	GT-A	Glyco_transf_43(114-324)
tr|A0A1U7TKS0|A0A1U7TKS0_TARSY	GT-A	GlcAT-I(69-307)
tr|A0A1U7TS64|A0A1U7TS64_TARSY	GT-A	GlcAT-I(69-297)
tr|A0A1U7U3Q9|A0A1U7U3Q9_TARSY	GT-A	GlcAT-I(9-234)
tr|A0A1U7Z2S7|A0A1U7Z2S7_NELNU	GT-A	Glyco_tranf_GTA_type(1-341)
tr|A0A1U8DFD5|A0A1U8DFD5_ALLSI	GT-A	GlcAT-I(28-245)
tr|A0A1V4J386|A0A1V4J386_PATFA	GT-A	Glyco_transf_43(115-318)
tr|A0A1V4JMH4|A0A1V4JMH4_PATFA	GT-A	GlcAT-I(73-299)
tr|A0A1V9Y0D0|A0A1V9Y0D0_9ACAR	GT-A	GlcAT-I(43-275)
tr|A0A1W0X405|A0A1W0X405_HYPDU	GT-A	GlcAT-I(41-282)
tr|A0A1W4V1H6|A0A1W4V1H6_DROFC	GT-A	GlcAT-I(50-284)
tr|A0A1W4W2A1|A0A1W4W2A1_DROFC	GT-A	GlcAT-I(37-256)
tr|A0A1X7TVA8|A0A1X7TVA8_AMPQE	GT-A	Glyco_transf_43(153-359)
tr|A0A1X7UUB1|A0A1X7UUB1_AMPQE	GT-A	Glyco_transf_43(18-224)
tr|A0A1X7UYA6|A0A1X7UYA6_AMPQE	GT-A	Glyco_transf_43(113-327)
tr|A0A1X7UZD1|A0A1X7UZD1_AMPQE	GT-A	Glyco_transf_43(88-299)
tr|A0A1X7UZH1|A0A1X7UZH1_AMPQE	GT-A	Glyco_transf_43(88-306)
tr|A0A1Y1IGG2|A0A1Y1IGG2_KLENI	GT-A	GlcAT-I(96-325)
tr|A0A1Y2B7P7|A0A1Y2B7P7_9FUNG	GT-A	Glyco_tranf_GTA_type(1-177)
tr|A0A1Y2FBH1|A0A1Y2FBH1_9BASI	GT-A	Glyco_tranf_GTA_type(64-267)
tr|A0A1Y3AZ61|A0A1Y3AZ61_EURMA	GT-A	Glyco_transf_43(46-248)
tr|A0A1Y3BVC6|A0A1Y3BVC6_EURMA	GT-A	Glyco_transf_43(13-225)
tr|A0A1Z5R1L1|A0A1Z5R1L1_SORBI	GT-A	Glyco_tranf_GTA_type(1-194)
tr|A0A200R621|A0A200R621_9MAGN	GT-A	Glyco_tranf_GTA_type(1-350)
tr|A0A212EKH4|A0A212EKH4_DANPL	GT-A	GlcAT-I(67-283)
tr|A0A212EWN3|A0A212EWN3_DANPL	GT-A	GlcAT-I(43-265)
tr|A0A218UWJ9|A0A218UWJ9_9PASE	GT-A	GlcAT-I(62-288)
tr|A0A218VDU4|A0A218VDU4_9PASE	GT-A	Glyco_transf_43(115-325)
tr|A0A218XB27|A0A218XB27_PUNGR	GT-A	Glyco_tranf_GTA_type(124-385)
tr|A0A218XBT1|A0A218XBT1_PUNGR	GT-A	Glyco_tranf_GTA_type(1-349)
tr|A0A226NMC3|A0A226NMC3_CALSU	GT-A	Glyco_transf_43(115-325)
tr|A0A226PMP0|A0A226PMP0_COLVI	GT-A	Glyco_transf_43(163-367)
tr|A0A226PUM8|A0A226PUM8_COLVI	GT-A	Glyco_transf_43(115-325)
tr|A0A251VRQ6|A0A251VRQ6_HELAN	GT-A	Glyco_tranf_GTA_type(1-344)
tr|A0A251VUN0|A0A251VUN0_HELAN	GT-A	Glyco_transf_43(1-250)
tr|A0A261A4U7|A0A261A4U7_9PELO	GT-A	Glyco_transf_43(54-259)
tr|A0A261C2E0|A0A261C2E0_9PELO	GT-A	Glyco_transf_43(50-254)
tr|A0A287JHH2|A0A287JHH2_HORVV	GT-A	Glyco_tranf_GTA_type(300-532)
tr|A0A287P650|A0A287P650_HORVV	GT-A	Glyco_tranf_GTA_type(56-346)
tr|A0A2A2JPN6|A0A2A2JPN6_9BILA	GT-A	Glyco_transf_43(1-198)
tr|A0A2A2KE09|A0A2A2KE09_9BILA	GT-A	Glyco_transf_43(31-233)
tr|A0A2A2LKL1|A0A2A2LKL1_9BILA	GT-A	Glyco_transf_43(77-283)
tr|A0A2A2LNP7|A0A2A2LNP7_9BILA	GT-A	Glyco_transf_43(77-283)
tr|A0A2A4J695|A0A2A4J695_HELVI	GT-A	GlcAT-I(67-283)
tr|A0A2A4JQT8|A0A2A4JQT8_HELVI	GT-A	GlcAT-I(43-265)
tr|A0A2B4RIX5|A0A2B4RIX5_STYPI	GT-A	GlcAT-I(136-366)
tr|A0A2B4RJV4|A0A2B4RJV4_STYPI	GT-A	GlcAT-I(92-320)
tr|A0A2B4S6P9|A0A2B4S6P9_STYPI	GT-A	GlcAT-I(89-315)
tr|A0A2C9JPD9|A0A2C9JPD9_BIOGL	GT-A	GlcAT-I(19-244)
tr|A0A2C9K0T6|A0A2C9K0T6_BIOGL	GT-A	GlcAT-I(46-273)
tr|A0A2D0QSJ8|A0A2D0QSJ8_ICTPU	GT-A	Glyco_transf_43(131-341)
tr|A0A2D0RDR0|A0A2D0RDR0_ICTPU	GT-A	GlcAT-I(73-308)
tr|A0A2D0SQ30|A0A2D0SQ30_ICTPU	GT-A	Glyco_transf_43(117-327)
tr|A0A2G2WVJ9|A0A2G2WVJ9_CAPBA	GT-A	Glyco_tranf_GTA_type(1-302)
tr|A0A2G5UUE6|A0A2G5UUE6_9PELO	GT-A	GlcAT-I(97-327)
tr|A0A2G8JH56|A0A2G8JH56_STIJA	GT-A	GlcAT-I(27-257)
tr|A0A2G9S9X0|A0A2G9S9X0_LITCT	GT-A	GlcAT-I(14-234)
tr|A0A2H3XUW9|A0A2H3XUW9_PHODC	GT-A	Glyco_tranf_GTA_type(1-352)
tr|A0A2H3Y1R4|A0A2H3Y1R4_PHODC	GT-A	Glyco_tranf_GTA_type(1-339)
tr|A0A2H3YK51|A0A2H3YK51_PHODC	GT-A	Glyco_transf_43(45-289)
tr|A0A2H5PVR3|A0A2H5PVR3_CITUN	GT-A	Glyco_tranf_GTA_type(1-346)
tr|A0A2I3HCK1|A0A2I3HCK1_NOMLE	GT-A	GlcAT-I(61-299)
tr|A0A2I3HKE6|A0A2I3HKE6_NOMLE	GT-A	GlcAT-I(59-297)
tr|A0A2I4C5Z2|A0A2I4C5Z2_9TELE	GT-A	Glyco_transf_43(128-338)
tr|A0A2J6L7J6|A0A2J6L7J6_LACSA	GT-A	Glyco_tranf_GTA_type(1-351)
tr|A0A2J6S240|A0A2J6S240_9HELO	GT-A	Glyco_tranf_GTA_type(59-240)
tr|A0A2J6T321|A0A2J6T321_9HELO	GT-A	Glyco_tranf_GTA_type(81-263)
tr|A0A2J7PNA8|A0A2J7PNA8_9NEOP	GT-A	GlcAT-I(59-278)
tr|A0A2J7QSM2|A0A2J7QSM2_9NEOP	GT-A	Glyco_transf_43(116-325)
tr|A0A2J7RP14|A0A2J7RP14_9NEOP	GT-A	GlcAT-I(120-341)
tr|A0A2K3P978|A0A2K3P978_TRIPR	GT-A	Glyco_tranf_GTA_type(158-416)
tr|A0A2K5EUY1|A0A2K5EUY1_AOTNA	GT-A	GlcAT-I(78-316)
tr|A0A2K5HBI0|A0A2K5HBI0_COLAP	GT-A	GlcAT-I(62-300)
tr|A0A2K5PWE5|A0A2K5PWE5_CEBCA	GT-A	GlcAT-I(59-282)
tr|A0A2K5SET4|A0A2K5SET4_CEBCA	GT-A	Glyco_transf_43(105-315)
tr|A0A2K5YMX0|A0A2K5YMX0_MANLE	GT-A	GlcAT-I(68-306)
tr|A0A2K6EMI4|A0A2K6EMI4_PROCO	GT-A	GlcAT-I(75-313)
tr|A0A2K6UVP9|A0A2K6UVP9_SAIBB	GT-A	GlcAT-I(64-302)
tr|A0A2P4L8P5|A0A2P4L8P5_QUESU	GT-A	Glyco_tranf_GTA_type(1-417)
tr|A0A2P5PVU4|A0A2P5PVU4_GOSBA	GT-A	GlcAT-I(102-331)
tr|A0A2P5PW23|A0A2P5PW23_GOSBA	GT-A	GlcAT-I(56-285)
tr|A0A2P5PXG5|A0A2P5PXG5_GOSBA	GT-A	Glyco_transf_43(126-315)
tr|A0A2P5QGY7|A0A2P5QGY7_GOSBA	GT-A	Glyco_transf_43(146-382)
tr|A0A2R6XSC8|A0A2R6XSC8_MARPO	GT-A	Glyco_transf_43(191-428)
tr|A0A2R8ZMF8|A0A2R8ZMF8_PANPA	GT-A	GlcAT-I(61-299)
tr|A0A2R9AMA0|A0A2R9AMA0_PANPA	GT-A	GlcAT-I(77-301)
tr|A4IIW6|A4IIW6_XENTR	GT-A	Glyco_transf_43(113-323)
tr|A7RZM4|A7RZM4_NEMVE	GT-A	GlcAT-I(2-231)
tr|A7T0C4|A7T0C4_NEMVE	GT-A	GlcAT-I(2-232)
tr|A8X675|A8X675_CAEBR	GT-A	Glyco_tranf_GTA_type(2-290)
